Predicted,Actual
158.58304,172.14
160.91792,137.13
168.88824,170.77
180.44165,171.77
160.1602,141.66
153.78537,132.23
162.79958,144.8
155.44688,162.88
174.97324,144.29
154.80908,167.66
150.58861,140.36
180.93433,181.82
173.63991,196.89
168.70517,130.15
157.32956,132.37
179.09308,186.28
180.7695,152.87
163.60762,167.45
174.01645,173.75
159.9103,167.23
168.6254,188.01
180.96188,137.87
170.01418,176.57
167.32567,182.32
151.0545,138.88
181.3935,187.68
152.34447,138.92
177.32841,196.94
178.99367,232.98
180.85391,182.4
176.159,144.29
155.30893,156.8
150.86743,158.52
163.34027,177.15
178.58014,194.68
157.47661,156.8
175.47615,139.23
177.745,145.47
181.17908,165.63
168.35425,181.18
174.26031,166.13
174.02051,156.9
163.2325,172.07
172.27051,191.73
179.77673,153.72
162.26082,160.25
168.37524,150.7
174.93355,176.3
175.19482,192.46
162.82822,166.42
181.53584,165.0
165.14824,188.63
179.69994,182.4
150.28862,151.03
179.4255,163.43
166.53708,145.91
181.3276,147.07
148.5538,131.88
177.75243,155.74
182.16637,194.5
162.52586,155.09
161.23804,130.73
181.11526,167.23
171.96783,146.1
165.59094,146.1
176.10034,177.82
154.0559,141.17
175.679,177.82
170.14523,143.96
169.74687,166.17
176.0794,141.17
163.34016,163.43
178.77481,150.72
172.01761,191.73
163.17383,163.64
179.67845,225.01
166.7975,165.23
160.46507,130.03
158.76306,161.38
153.98598,167.57
179.49675,181.16
152.83237,193.13
169.79684,140.42
175.0297,169.58
181.95866,172.75
176.46391,194.17
177.72192,180.96
181.25732,208.14
176.07188,171.13
179.87396,153.85
179.29355,165.21
150.54352,165.07
153.1021,165.07
169.97467,137.87
179.63382,193.62
169.68019,170.03
170.38586,154.53
157.38025,140.09
168.65985,132.37
164.33185,173.0
172.74683,188.06
181.62311,219.86
167.61578,173.57
165.63228,138.38
163.58853,149.64
177.67325,155.96
174.00409,169.68
180.43689,183.05
181.5071,189.97
158.05344,145.86
169.16737,189.69
169.53494,195.18
155.61954,145.38
163.5126,163.76
168.41074,179.36
155.67406,186.4
168.4899,129.61
157.13489,157.96
158.67963,126.36
167.01299,168.54
181.1333,172.69
155.72786,144.29
168.79099,142.91
176.0433,191.24
165.567,191.17
176.60936,194.35
177.26212,148.01
178.54214,135.94
173.05109,176.38
171.19391,184.4
159.1025,177.56
163.28488,138.38
179.17929,187.68
157.93292,171.83
173.04086,147.92
152.8299,166.02
169.2247,152.55
171.90063,218.8
171.71173,191.73
178.4837,142.48
172.69154,176.3
175.25232,198.11
180.85439,192.46
170.85516,145.93
170.54958,152.95
172.46501,141.17
170.1572,130.73
164.64645,167.23
179.37056,147.81
178.05885,178.85
180.80669,157.96
161.19559,146.5
179.1514,191.04
164.21883,192.53
159.91188,157.96
180.38928,185.56
181.47627,141.11
165.54092,169.59
180.8454,175.43
172.44629,150.18
153.94699,148.48
179.92783,191.45
169.61935,179.46
156.60454,196.94
161.0592,151.29
181.6161,189.84
181.15639,189.99
171.008,176.3
164.5795,175.6
163.34184,184.12
181.79486,192.53
180.61873,163.77
173.81395,148.31
157.79729,130.06
160.17166,168.22
165.01257,167.57
169.64766,176.38
159.19427,135.43
158.63408,142.91
181.95308,217.53
159.04742,149.84
156.6612,140.82
162.74397,196.94
164.96704,170.12
179.55695,184.25
179.4075,170.43
166.5791,173.5
151.56503,140.36
148.35597,150.62
164.46274,126.36
156.5448,171.83
154.2344,175.04
165.81601,152.55
165.99672,140.94
181.96275,218.54
168.66199,165.56
180.38872,177.57
161.33379,178.18
165.74039,173.03
178.09868,188.61
175.36047,181.12
180.0057,180.71
180.94855,177.97
174.11566,185.56
157.8241,150.82
172.80743,182.41
180.9774,185.64
167.53142,157.35
178.73775,173.72
163.78069,185.64
178.44896,209.68
156.85172,126.36
177.97746,154.65
151.6735,162.88
151.92267,149.84
160.98354,157.65
162.92383,170.21
154.99634,157.35
176.30824,151.76
181.20743,187.68
162.91159,176.3
159.84761,172.69
156.23053,132.76
180.86476,186.28
161.08002,157.65
161.48488,177.77
162.51369,152.34
173.56674,173.57
181.45932,183.05
156.0569,144.22
175.73343,149.4
176.82,185.27
158.11143,165.79
155.25522,174.21
154.73631,151.07
165.04494,147.96
153.90111,157.65
159.86763,170.29
170.84155,213.31
179.35815,190.69
180.78545,192.53
179.73567,172.69
174.314,173.5
170.2149,165.33
167.21309,174.91
179.63637,185.01
165.16794,196.45
160.63246,146.5
168.30518,171.1
178.77736,173.03
153.61244,160.01
178.9691,131.56
168.50493,143.96
169.82416,148.01
152.67056,152.06
173.9963,227.82
163.39886,172.28
179.80948,186.68
162.99644,147.96
181.36472,168.0
175.78499,218.8
156.60638,167.4
157.8096,156.77
170.71332,146.63
181.42918,161.51
177.82285,195.1
180.90733,186.88
163.16632,177.77
177.21501,176.08
177.96448,188.63
156.8453,178.44
172.39832,174.21
172.28262,146.63
156.25964,126.04
167.82303,174.91
181.57329,147.27
174.41399,175.05
177.92326,228.88
170.08081,155.85
156.74107,165.38
164.03003,172.69
179.4669,180.96
174.37198,191.29
175.74933,177.3
177.35909,177.82
178.79501,193.89
155.4099,157.96
179.77333,169.67
173.5088,133.41
181.21297,191.29
166.02066,143.75
170.17355,174.49
174.81577,214.24
163.1838,186.4
162.60352,163.64
169.9087,155.31
165.46912,166.65
180.72253,227.57
160.7079,176.57
176.02611,188.08
163.07474,182.74
180.57024,194.68
172.55017,148.31
176.7941,193.12
166.45169,157.37
181.80623,171.77
170.2427,175.84
171.5765,167.04
180.47612,209.07
178.35867,151.6
158.1402,154.73
156.72406,145.54
164.32993,149.45
166.91136,180.75
156.78899,178.44
180.48788,213.07
169.94048,188.08
169.24411,173.03
155.37628,165.33
153.81873,144.8
177.28864,189.3
162.19714,177.77
169.8978,143.75
154.13074,157.96
164.31808,155.74
174.2307,175.05
162.0664,179.07
167.91006,159.28
158.44934,143.75
170.15132,173.72
162.77377,179.23
160.54541,192.75
156.7009,161.79
166.20932,172.57
166.02347,157.65
173.14494,179.58
180.78928,180.96
175.34651,132.37
170.01587,173.31
171.21802,193.73
180.46843,143.75
167.79822,192.46
180.65663,172.69
181.26042,208.14
166.14366,146.71
176.44838,176.57
180.74512,177.45
167.70915,130.73
157.38257,175.06
182.13289,186.28
180.92429,192.35
154.65112,155.31
175.54733,168.0
163.0971,164.87
178.84616,151.0
179.48938,177.45
180.3728,148.28
160.44226,174.31
156.1491,147.11
152.92482,174.07
180.13004,135.27
159.01527,186.4
159.6233,152.06
179.89285,163.43
170.47104,177.3
161.6741,132.3
157.50114,137.13
182.29013,218.24
172.21552,181.99
160.5839,142.48
169.10771,189.59
154.94646,157.96
172.01659,177.3
174.72086,191.24
180.24075,217.49
148.89236,157.96
159.81212,168.45
158.50807,155.85
154.59395,140.52
171.41447,147.07
176.41068,171.37
172.73734,154.46
180.07808,189.71
181.99545,173.72
154.10776,142.56
171.1258,176.57
162.6403,189.95
152.62457,163.64
166.56116,132.23
182.22562,214.1
161.67682,150.7
170.72748,157.83
168.11351,184.25
156.71138,138.34
158.74072,166.89
162.87463,148.71
173.6411,182.41
154.48578,147.27
174.78699,175.84
151.24815,157.44
174.77611,175.1
151.17857,163.64
165.23036,148.79
168.20108,173.57
168.90584,145.47
162.80075,188.08
153.21538,140.52
163.52173,174.21
170.58377,148.03
159.68103,130.03
174.524,188.04
156.89941,142.64
153.58926,126.04
167.43628,142.64
172.02509,177.97
179.64667,183.63
165.87332,174.79
155.59305,152.06
169.95972,151.29
157.323,157.65
181.17471,178.67
161.5637,168.22
170.35779,142.65
161.08786,151.6
153.29149,172.14
177.77405,189.46
173.80972,157.4
161.73654,137.44
181.01334,207.15
162.76567,158.28
165.79749,137.59
177.97629,193.18
164.54086,219.86
179.39796,168.82
167.54756,169.68
179.5318,169.58
178.30556,178.19
170.73306,158.91
180.7707,210.62
165.71667,191.17
180.40399,194.71
179.98468,196.45
159.30498,172.14
